ID,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls,LaLiga or Prem
011360ce,Martin-Petrov,Bulgaria,1979,13,6,"['1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. La Liga', '1. La Liga', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '1. La Liga', '1. A Group']","['10th', '8th', '10th', '9th', '10th', '7th', '9th', '10th', '5th', '14th', '18th', '7th', '13th', '2nd']",322,53.0,1
0118c54c,Anthony-Caci,France,1997,7,2,"['2. Ligue 2', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Bundesliga']","['1st', '15th', '11th', '10th', '15th', '6th', '12th']",114,3.0,0
011d8c56,Miguel-Angel-Moya,Spain,1984,17,5,"['1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga']","['17th', '13th', '12th', '7th', '9th', '3rd', '3rd', '11th', '10th', '13th', '3rd', '3rd', '3rd', '2nd', '12th', '9th', '6th', '5th']",274,0.0,1
01226327,Ryan-Bertrand,England,1989,16,9,"['3. League One', '3. League One', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League']","['19th', '8th', '17th', '22nd', '9th', '6th', '2nd', '6th', '3rd', '3rd', '15th', '7th', '6th', '8th', '17th', '16th', '11th', '15th', '8th']",407,8.0,1
0127419a,Ianis-Hagi,Romania,1998,8,4,"['1. Liga I', '1. Liga I', '1. Serie A', '1. Serie A', '1. Liga I', '1. Liga I', '1. First Division A', '1. Premiership', '1. Premiership', '1. Premiership']","['11th', '5th', '8th', '8th', '4th', '3rd', '7th', '2nd', '1st', '2nd']",154,32.0,0
012ac715,Guy-Gnabouyou,France,1989,11,4,"['1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Veikkausliiga', '1. Veikkausliiga', '1. Veikkausliiga', '1. Super League', '1. Veikkausliiga', '1. Veikkausliiga', '1. Veikkausliiga', '5. National League']","['3rd', '2nd', '2nd', '2nd', '2nd', '9th', '12th', '4th', '11th', '9th', '22nd']",152,25.0,0
012c38ec,Meritan-Shabani,Albania,1999,7,6,"['Jr. U19 Bundesliga', 'Jr. U19 Bundesliga', '1. Bundesliga', '1. Bundesliga', '3. 3. Liga', 'Jr. PL2 — Div. 1', '1. Premier League', '1. Eredivisie', 'Jr. PL2 — Div. 2', 'Jr. PL2 — Div. 2', '1. Super Lg']","['7th', '3rd', '1st', '1st', '1st', '12th', '13th', '17th', '4th', '2nd', '6th']",81,13.0,1
012c975a,Rhys-Williams,England,2001,4,3,"['Jr. PL2 — Div. 1', 'Jr. PL2 — Div. 1', '1. Premier League', 'Jr. PL2 — Div. 1', '1. Premier League', '2. Championship', '2. Championship']","['4th', '7th', '3rd', '4th', '2nd', '15th', '19th']",39,3.0,1
0136606c,Foued-Kadir,Algeria,1983,9,6,"['1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '2. Segunda División', '1. La Liga', '2. Segunda División', '2. Segunda División', '2. Segunda División']","['10th', '12th', '12th', '11th', '2nd', '6th', '12th', '1st', '10th', '3rd', '18th', '13th']",194,22.0,1
01460670,Chris-Gadi,France,1992,6,5,"['1. Ligue 1', '1. A Group', '1. A Group', '1. First League', '1. First League', '1. First League']","['10th', '7th', '2nd', '10th', '12th', '8th']",93,18.0,0
014662c1,Lukas-Raeder,Germany,1993,8,6,"['1. Bundesliga', '1. Primeira Liga', '1. Primeira Liga', '1. Primeira Liga', '3. League One', '3. 3. Liga', '1. First League', '3. 3. Liga']","['1st', '14th', '15th', '12th', '11th', '19th', '9th', '11th']",85,0.0,0
014a3e8c,Michel-Bastos,Brazil,1983,15,9,"['1. Eredivisie', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Bundesliga', '1. Serie A', '1. Série A', '1. Série A', '1. Série A', '1. Série A', '1. Série A', '1. Série A', '2. Série B']","['17th', '10th', '7th', '5th', '2nd', '3rd', '4th', '3rd', '4th', '2nd', '2nd', '4th', '10th', '2nd', '1st', '17th', '5th']",358,68.0,0
014aa7bd,Alvaro-Aguado,Spain,1996,6,4,"['2. Segunda División', '2. Segunda División', '2. Segunda División', '2. Segunda División', '2. Segunda División', '1. La Liga']","['16th', '21st', '20th', '11th', '2nd', '13th']",109,6.0,1
014b57f5,Sergio-Moreno,Spain,1999,3,3,"['1. La Liga', '2. Segunda División', '2. Segunda División', '1. La Liga', '2. Segunda División']","['20th', '10th', '6th', '12th', '19th']",41,2.0,1
0154d290,Felix-Afena-Gyan,Ghana,2003,2,2,"['1. Serie A', '1. Serie A', '1. Serie A']","['6th', '6th', '19th']",20,2.0,0
0168069e,Adama-Coulibaly,Mali,1980,15,3,"['1. Division 1', '1. Division 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '2. Ligue 2', '2. Ligue 2', '2. Ligue 2']","['5th', '2nd', '8th', '8th', '7th', '4th', '5th', '18th', '8th', '3rd', '9th', '20th', '9th', '16th', '16th']",385,14.0,0
016828bd,Eric-Abidal,France,1979,15,5,"['1. Division 1', '1. Division 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. Ligue 1', '1. Super League']","['11th', '15th', '14th', '10th', '1st', '1st', '1st', '3rd', '1st', '1st', '1st', '2nd', '1st', '2nd', '1st']",319,0.0,1
