Nation,Born,id,Country Name,,
ESP,1975,https://fbref.com/en/players/29863c56/Sergio-Ballesteros,Spain,FALSE,0
FRA,1980,https://fbref.com/en/players/4e7bfc23/Florent-Balmont,France,FALSE,0
NGA,1988,https://fbref.com/en/players/78e68b4d/Leon-Balogun,Nigeria,FALSE,0
ITA,1990,https://fbref.com/en/players/8ff07990/Mario-Balotelli,Italy,FALSE,0
ITA,1981,https://fbref.com/en/players/fbef4f9f/Federico-Balzaretti,Italy,FALSE,0
BRA,1988,https://fbref.com/en/players/b85d1f36/Anderson-Bamba,Brazil,FALSE,0
BFA,1982,https://fbref.com/en/players/db50d95f/Habib-Bamogo,Burkina Faso,FALSE,0
ARG,1988,https://fbref.com/en/players/fa937f7a/Ever-Banega,Argentina,FALSE,0
GUI,1985,https://fbref.com/en/players/d255c356/Ismael-Bangoura,Guinea,FALSE,0
SCO,1989,https://fbref.com/en/players/9469fb13/Barry-Bannan,Scotland,FALSE,0
CRO,1980,https://fbref.com/en/players/0f348db8/Ivica-Banovic,Croatia,FALSE,0
BRA,1981,https://fbref.com/en/players/44557475/Julio-Baptista,Brazil,FALSE,0
ENG,1986,https://fbref.com/en/players/7b72f0b6/Alex-Baptiste,England,FALSE,0
SCO,1985,https://fbref.com/en/players/1ae30132/Phil-Bardsley,Scotland,FALSE,0
GER,1989,https://fbref.com/en/players/3f7cd8f1/Philipp-Bargfrede,Germany,FALSE,0
JAM,1988,https://fbref.com/en/players/e663724a/Giles-Barnes,Jamaica,FALSE,0
SUI,1985,https://fbref.com/en/players/6b594e37/Tranquillo-Barnetta,Switzerland,FALSE,0
ESP,1983,https://fbref.com/en/players/d99f9282/David-Barral,Spain,FALSE,0
MEX,1987,https://fbref.com/en/players/ff70b131/Pablo-Barrera,Mexico,FALSE,0
PAR,1984,https://fbref.com/en/players/618feb69/Lucas-Barrios,Paraguay,FALSE,0
ENG,1981,https://fbref.com/en/players/7dbbe367/Gareth-Barry,England,FALSE,0
GER,1987,https://fbref.com/en/players/acc7b7ec/Fin-Bartels,Germany,FALSE,0
GER,1979,https://fbref.com/en/players/aef37fbb/Oliver-Barth,Germany,FALSE,0
ENG,1982,https://fbref.com/en/players/93bfa675/Joey-Barton,England,FALSE,0
ESP,1991,https://fbref.com/en/players/b742cc0d/Marc-Bartra,Spain,FALSE,0
ITA,1981,https://fbref.com/en/players/7c0000fd/Andrea-Barzagli,Italy,FALSE,0
ARG,1983,https://fbref.com/en/players/d73f999f/Pablo-Barzola,Argentina,FALSE,0
ENG,1988,https://fbref.com/en/players/1aa84968/Chris-Basham,England,FALSE,0
GRE,1976,https://fbref.com/en/players/0d9168da/Angelos-Basinas,Greece,FALSE,0
CMR,1986,https://fbref.com/en/players/0d521662/Sebastien-Bassong,Cameroon,FALSE,0
GER,1988,https://fbref.com/en/players/89063b3e/Felix-Bastians,Germany,FALSE,0
BRA,1983,https://fbref.com/en/players/014a3e8c/Michel-Bastos,Brazil,FALSE,0
FRA,1975,https://fbref.com/en/players/3cd2fd3b/Laurent-Batlles,France,FALSE,0
ITA,1992,https://fbref.com/en/players/0f9b8301/Cristian-Battocchio,Italy,FALSE,0
GER,1990,https://fbref.com/en/players/47064058/Oliver-Baumann,Germany,FALSE,0
GER,1987,https://fbref.com/en/players/0300e2dc/Alexander-Baumjohann,Germany,FALSE,0
ENG,1992,https://fbref.com/en/players/185990eb/Jose-Baxter,England,FALSE,0
SEN,1985,https://fbref.com/en/players/74577256/Moustapha-Bayal-Sall,Senegal,FALSE,0
FRA,1988,https://fbref.com/en/players/2515040a/Paul-Baysse,France,FALSE,0
USA,1982,https://fbref.com/en/players/e4d6e7d9/DaMarcus-Beasley,United States,FALSE,0
ENG,1978,https://fbref.com/en/players/7c881089/James-Beattie,England,FALSE,0
CHI,1984,https://fbref.com/en/players/c8404849/Jean-Beausejour,Chile,FALSE,0
CPV,1990,https://fbref.com/en/players/d8712bf9/Bebe,Cape Verde,FALSE,0
GER,1987,https://fbref.com/en/players/00a6485f/Andreas-Beck,Germany,FALSE,0
JAM,1983,https://fbref.com/en/players/393303c7/Jermaine-Beckford,Jamaica,FALSE,0
ESP,1989,https://fbref.com/en/players/2dc8077c/Edu-Bedia,Spain,FALSE,0
CMR,1984,https://fbref.com/en/players/0d57f1c1/Henri-Bedimo,Cameroon,FALSE,0
CZE,1983,https://fbref.com/en/players/a6979454/Roman-Bednar,Czech Republic,FALSE,0
ITA,1974,https://fbref.com/en/players/4d0b594c/Francesco-Bega,Italy,FALSE,0
BIH,1987,https://fbref.com/en/players/7b4de647/Asmir-Begovic,Bosnia and Herzegovina,FALSE,0
SUI,1985,https://fbref.com/en/players/d3d758d8/Valon-Behrami,Switzerland,FALSE,0
GER,1990,https://fbref.com/en/players/e27b6ccd/Shqipon-Bektasi,Germany,FALSE,0
ITA,1977,https://fbref.com/en/players/788d51fa/Emanuele-Belardi,Italy,FALSE,0
MAR,1990,https://fbref.com/en/players/e204ec12/Younes-Belhanda,Morocco,FALSE,0
FRA,1982,https://fbref.com/en/players/a901d685/David-Bellion,France,FALSE,0
ITA,1989,https://fbref.com/en/players/7f1c3bca/Giuseppe-Bellusci,Italy,FALSE,0
ITA,1987,https://fbref.com/en/players/279857a1/Nicola-Belmonte,Italy,FALSE,0
FRA,1987,https://fbref.com/en/players/74dc806c/Hatem-Ben-Arfa,France,FALSE,0
ISR,1982,https://fbref.com/en/players/2277a390/Tal-Ben-Haim,Israel,FALSE,0
TUN,1982,https://fbref.com/en/players/d189a874/Fahid-Ben-Khalfallah,Tunisia,FALSE,0
SUI,1992,https://fbref.com/en/players/b5902f7f/Nassim-Ben-Khalifa,Switzerland,FALSE,0
TUN,1984,https://fbref.com/en/players/61d618fa/Chaouki-Ben-Saada,Tunisia,FALSE,0
FRA,1990,https://fbref.com/en/players/942b4f90/Wissam-Ben-Yedder,France,FALSE,0
TUN,1988,https://fbref.com/en/players/132e4111/Anis-Ben-Hatira,Tunisia,FALSE,0
SUI,1983,https://fbref.com/en/players/b7e7937d/Diego-Benaglio,Switzerland,FALSE,0
TUN,1987,https://fbref.com/en/players/8309b068/Yohan-Benalouane,Tunisia,FALSE,0
ITA,1981,https://fbref.com/en/players/ddb3cf91/Massimiliano-Benassi,Italy,FALSE,0
MAR,1987,https://fbref.com/en/players/3b15ef2d/Medhi-Benatia,Morocco,FALSE,0
ISR,1980,https://fbref.com/en/players/8414bb13/Yossi-Benayoun,Israel,FALSE,0
GER,1989,https://fbref.com/en/players/c50281a0/Lars-Bender,Germany,FALSE,0
GER,1989,https://fbref.com/en/players/070ec0b1/Sven-Bender,Germany,FALSE,0
DEN,1988,https://fbref.com/en/players/9f9c57f0/Nicklas-Bendtner,Denmark,FALSE,0
NAM,1978,https://fbref.com/en/players/9889b832/Collin-Benjamin,Namibia,FALSE,0
ENG,1984,https://fbref.com/en/players/fe97f10b/Darren-Bent,England,FALSE,0
ENG,1978,https://fbref.com/en/players/69166246/Marcus-Bent,England,FALSE,0
ITA,1985,https://fbref.com/en/players/7a8ecf0b/Simone-Bentivoglio,Italy,FALSE,0
ENG,1984,https://fbref.com/en/players/a00fbcec/David-Bentley,England,FALSE,0
ITA,1981,https://fbref.com/en/players/42bcb825/Francesco-Benussi,Italy,FALSE,0
FRA,1987,https://fbref.com/en/players/70d74ece/Karim-Benzema,France,FALSE,0
SUI,1988,https://fbref.com/en/players/5348aada/Gaetano-Berardi,Switzerland,FALSE,0
BUL,1981,https://fbref.com/en/players/f5781978/Dimitar-Berbatov,Bulgaria,FALSE,0
FRA,1981,https://fbref.com/en/players/9036cb27/Pascal-Berenguer,France,FALSE,0
ITA,1992,https://fbref.com/en/players/906da49c/Giacomo-Beretta,Italy,FALSE,0
ESP,1986,https://fbref.com/en/players/04a65a8f/Markel-Bergara,Spain,FALSE,0
MAR,1989,https://fbref.com/en/players/833676b4/Zakarya-Bergdich,Morocco,FALSE,0
SUI,1983,https://fbref.com/en/players/5d0d1ec7/Steve-von-Bergen,Switzerland,FALSE,0
ARG,1984,https://fbref.com/en/players/da001952/Gonzalo-Bergessio,Argentina,FALSE,0
FRA,1983,https://fbref.com/en/players/c4d64855/Franck-Beria,France,FALSE,0
ARG,1986,https://fbref.com/en/players/dec04537/Hernan-Bernardello,Argentina,FALSE,0
ITA,1983,https://fbref.com/en/players/7b8f85c7/Tommaso-Berni,Italy,FALSE,0
SCO,1985,https://fbref.com/en/players/8455984a/Christophe-Berra,Scotland,FALSE,0
FRA,1984,https://fbref.com/en/players/25e4a7a1/Jeremy-Berthod,France,FALSE,0
ITA,1991,https://fbref.com/en/players/c75b6a02/Andrea-Bertolacci,Italy,FALSE,0
ARG,1986,https://fbref.com/en/players/089f82b2/Nicolas-Bertolo,Argentina,FALSE,0
ENG,1989,https://fbref.com/en/players/01226327/Ryan-Bertrand,England,FALSE,0
BIH,1992,https://fbref.com/en/players/7ca9f0f0/Muhamed-Besic,Bosnia and Herzegovina,FALSE,0
IRL,1986,https://fbref.com/en/players/0780ab75/Leon-Best,Ireland,FALSE,0
SEN,1977,https://fbref.com/en/players/459b0b19/Habib-Beye,Senegal,FALSE,0
FRA,1988,https://fbref.com/en/players/6b99d135/Jonathan-Biabiany,France,FALSE,0
ITA,1984,https://fbref.com/en/players/5e6f51b1/Marco-Biagianti,Italy,FALSE,0
ITA,1977,https://fbref.com/en/players/4b799ee6/Giuseppe-Biava,Italy,FALSE,0
BIH,1990,https://fbref.com/en/players/7aac47fe/Ermin-Bicakcic,Bosnia and Herzegovina,FALSE,0
GER,1986,https://fbref.com/en/players/bd0e3290/Pascal-Bieler,Germany,FALSE,0
