0e59a941,France,1984
2a33b1a7,Netherlands,1982
0f763d1a,France,1990
6d584b34,Italy,1983
f4fd57ba,England,1977
7c473e12,Belgium,1990
84bfbd38,Barbados,1979
861227d2,Ghana,1987
f8e3660d,Netherlands,1983
81a4581a,Norway,1982
8e812b0c,France,1980
fd5e3a73,United States,1987
56b5d64e,Algeria,1990
83ac7c3c,England,1981
15b4e984,Brazil,1980
10072610,Chile,1983
2a13c80b,France,1979
3b9eca7f,Slovenia,1984
cb20f13a,Australia,1980
f83c8d6c,France,1985
86b982bc,England,1980
182c89db,Guyana,1991
d417b306,Italy,1981
c0bd9792,France,1983
356a9a62,Uruguay,1985
32e0c69e,Italy,1988
14165e5f,Italy,1976
9671eb3d,Gabon,1982
82f61d83,Netherlands,1981
659ccc97,England,1979
fbffc4b1,Netherlands,1991
78803d03,Spain,1980
df41ad24,Germany,1979
ec7e6ad1,Northern Ireland,1984
61d0e7a8,Croatia,1980
ff0f5a19,Italy,1981
e40d028b,Italy,1978
497859aa,Germany,1978
335a76ea,Gabon,1990
0e0ab524,Germany,1986
3af964c3,Kosovo,1983
a6738b6c,England,1984
34980324,Argentina,1988
9417f322,Argentina,1981
b1bc049c,Italy,1975
5ab0ea87,Spain,1988
7eeac466,France,1988
ca1e00e5,Germany,1980
5c6a124a,Germany,1974
a179d516,Argentina,1981
ad7b19ef,France,1986
148e136f,France,1990
5d006974,Germany,1981
00b0bb87,Italy,1986
e94d79e3,Uruguay,1987
7914b9fe,England,1985
e5a2dfc2,Australia,1979
93b891d1,Ecuador,1988
8449a41e,Spain,1990
f1714283,Spain,1979
4449156f,Italy,1976
5dc37f4a,Scotland,1982
6839f68e,Scotland,1980
d1273f09,Italy,1988
ab417d5f,Germany,1984
3c99e7de,Spain,1978
78841da9,Spain,1987
0999a593,Germany,1984
7164f485,Spain,1987
8ed9b33a,Spain,1990
07296190,Guinea,1990
