ID,Community,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls
3eeb0554,4,Carlos-Apna-Embalo,Guinea-Bissau,1994,9,7,4,"['1st', '11th', '19th', '16th', '4th', '11th', '10th', '13th', '17th', '12th', '15th', '15th']",134,10.0
3eeb80e0,0,Fredrik-Jensen,Finland,1997,7,2,2,"['7th', '18th', '15th', '15th', '13th', '14th', '10th']",104,11.0
3eec50d0,2,Julien-Sable,France,1980,12,4,2,"['6th', '17th', '6th', '13th', '11th', '18th', '9th', '15th', '17th', '13th', '12th', '10th']",318,8.0
3eed9821,3,Samuel-Umtiti,France,1993,12,3,3,"['4th', '3rd', '5th', '2nd', '2nd', '2nd', '1st', '1st', '2nd', '3rd', '2nd', '16th']",223,5.0
3ef0a2d7,4,Aleksa-Terzic,Serbia,1999,5,3,3,"['1st', '10th', '1st', '7th', '13th']",43,0.0
3ef0fa48,2,Gelson-Martins,Portugal,1995,8,3,3,"['2nd', '3rd', '3rd', '2nd', '17th', '9th', '3rd', '3rd', '5th']",196,33.0
3ef5e819,2,Mickael-Tacalfred,Guadeloupe,1981,9,2,2,"['10th', '2nd', '14th', '11th', '15th', '18th', '17th', '11th', '15th']",263,4.0
3ef68782,2,Moussa-Kone,Senegal,1996,7,3,4,"['10th', '4th', '14th', '12th', '18th', '18th', '19th', '9th', '19th']",151,49.0
3ef7a30b,2,Mory-Kone,Ivory Coast,1994,4,3,2,"['18th', '1st', '20th', '20th']",45,0.0
3ef965c1,4,Flavio-Junior-Bianchi,Italy,2000,3,2,2,"['17th', '19th', '5th', '4th']",22,5.0
3effaa34,0,Andre-Silva,Portugal,1995,8,5,4,"['3rd', '2nd', '6th', '6th', '6th', '9th', '5th', '4th', '11th']",192,79.0
3f034750,2,Ivo-Grbic,Croatia,1996,9,4,3,"['3rd', '3rd', '3rd', '3rd', '6th', '2nd', '1st', '10th', '3rd', '4th']",101,0.0
3f072a68,1,Josh-Martin,England,2001,4,4,4,"['20th', '11th', '1st', '11th', '22nd', '3rd', '6th']",60,8.0
3f0adc44,4,Damiano-Zanon,Italy,1983,8,5,2,"['13th', '1st', '20th', '7th', '2nd', '19th', '12th', '18th', '8th']",228,0.0
3f0eba4f,4,Dani-Osvaldo,Italy,1986,14,12,6,"['1st', '9th', '4th', '4th', '17th', '17th', '11th', '8th', '7th', '6th', '8th', '1st', '8th', '1st', '3rd', '10th', '17th']",238,77.0
