ID,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls,LaLiga or Prem,Prem
06420c93,Samuel-Etoo,Cameroon,1981,20,11,"['1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. La Liga', '1. Serie A', '1. Serie A', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Serie A', '1. Premier League', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig', '1. Süper Lig']","['7th', '2nd', '10th', '3rd', '16th', '9th', '11th', '1st', '1st', '2nd', '3rd', '1st', '1st', '2nd', '5th', '3rd', '16th', '3rd', '7th', '11th', '9th', '5th', '14th', '15th']",540,283.0,1,1
066be641,Tommy-Smith,England,1980,14,7,"['1. Premier League', '2. First Division', '2. First Division', '2. First Division', '2. Championship', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '2. Championship']","['20th', '14th', '13th', '3rd', '4th', '20th', '3rd', '20th', '6th', '13th', '16th', '20th', '16th', '1st', '17th', '1st', '5th']",467,82.0,1,1
067e58bc,Malik-Fathi,Germany,1983,12,5,"['1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premier League', '1. Premier League', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Süper Lig', '2. 2. Bundesliga', '1. Bundesliga']","['12th', '4th', '6th', '10th', '10th', '8th', '2nd', '9th', '5th', '13th', '5th', '6th', '7th']",243,9.0,1,1
06b34f37,Juan-Zuniga,Colombia,1985,10,5,"['1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Serie A', '1. Premier League', '1. Primera A']","['14th', '6th', '3rd', '5th', '2nd', '3rd', '5th', '14th', '17th', '3rd']",185,5.0,1,1
06cb3efe,Jeremy-Clement,France,1984,16,5,"['1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Premier League', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '1. Ligue 1', '2. Ligue 2', '2. Ligue 2']","['1st', '1st', '1st', '2nd', '15th', '16th', '6th', '13th', '4th', '7th', '5th', '4th', '5th', '6th', '8th', '17th', '14th']",377,7.0,1,1
06d45e81,Greg-Halford,England,1984,18,15,"['3. Second Division', '3. Second Division', '3. League One', '3. League One', '2. Championship', '1. Premier League', '2. Championship', '1. Premier League', '2. Championship', '1. Premier League', '1. Premier League', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', 'Jr. PL2 — Div. 2', '1. Premiership', '4. League Two']","['12th', '11th', '15th', '2nd', '10th', '8th', '11th', '15th', '3rd', '15th', '17th', '16th', '22nd', '8th', '11th', '20th', '10th', '21st', '24th', '12th', '2nd', '9th', '4th', '23rd']",473,46.0,1,1
06f81a8c,Steven-Whittaker,Scotland,1984,20,4,"['1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '1. Premier League', '2. Championship', '1. Premier League', '2. Championship', '1. Premiership', '1. Premiership', '1. Premiership', '2. Championship']","['10th', '7th', '8th', '3rd', '4th', '7th', '2nd', '1st', '1st', '1st', '2nd', '11th', '18th', '3rd', '19th', '8th', '4th', '5th', '7th', '4th']",447,29.0,1,1
07059b2e,Freddie-Sears,England,1989,16,6,"['1. Premier League', '1. Premier League', '2. Championship', '2. Championship', '1. Premier League', '2. Championship', '1. Premier League', '2. Championship', '3. League One', '3. League One', '3. League One', '3. League One', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '2. Championship', '3. League One', '3. League One', '4. League Two', '4. League Two']","['10th', '9th', '21st', '19th', '17th', '24th', '20th', '3rd', '10th', '20th', '16th', '19th', '6th', '7th', '16th', '12th', '24th', '11th', '9th', '15th', '20th']",445,80.0,1,1
0745b37d,Teemu-Pukki,Finland,1990,17,8,"['1. Veikkausliiga', '1. Veikkausliiga', '1. La Liga', '2. Segunda División', '1. Veikkausliiga', '1. Veikkausliiga', '1. Bundesliga', '1. Bundesliga', '1. Bundesliga', '1. Premiership', '1. Premiership', '1. Superliga', '1. Superliga', '1. Superliga', '1. Superliga', '2. Championship', '1. Premier League', '2. Championship', '1. Premier League', '2. Championship']","['11th', '12th', '3rd', '22nd', '1st', '1st', '3rd', '4th', '3rd', '1st', '1st', '3rd', '4th', '2nd', '2nd', '1st', '20th', '1st', '20th', '2nd']",434,170.0,1,1
074d8166,Loic-Damour,France,1991,7,5,"['2. Ligue 2', '2. Ligue 2', '2. Ligue 2', '2. Ligue 2', '2. Championship', '1. Premier League', '1. Premiership']","['19th', '19th', '11th', '15th', '2nd', '18th', '12th']",138,4.0,1,1
